Dataset,Age,sex,PLT,MPV,Bodyweight,BMD,BMC,PctFat
Jaxpheno4,8,m,982,6,,,,
Jaxpheno4,8,f,984,6.5,,,,
Jaxpheno4,8,f,990,6.6,,,,
Jaxpheno4,8,m,1001,7.6,,,,
Jaxpheno4,8,f,1011,7.2,,,,
Jaxpheno4,8,f,1011,7.2,,,,
Jaxpheno4,8,m,1020,7.8,,,,
Jaxpheno4,8,m,1020,6.1,,,,
Jaxpheno4,8,f,1023,6.3,,,,
Jaxpheno4,8,f,1024,7,,,,
Jaxpheno4,8,f,1024,7,,,,
Jaxpheno4,8,f,1037,7,,,,
Jaxpheno4,8,f,1037,7,,,,
Jaxpheno4,8,f,1061,6.5,,,,
Jaxpheno4,8,m,1062,5.7,,,,
Jaxpheno4,8,f,1065,7.1,,,,
Jaxpheno4,8,f,1065,7.1,,,,
Jaxpheno4,8,m,1072,7.6,,,,
Jaxpheno4,8,m,1084,6.2,,,,
Jaxpheno4,8,m,1084,7.6,,,,
Jaxpheno4,8,m,1093,6.4,,,,
Jaxpheno4,8,f,1100,7,,,,
Jaxpheno4,8,m,1109,7.7,,,,
Jaxpheno4,8,m,1114,7.9,,,,
Jaxpheno4,8,f,1119,6,,,,
Jaxpheno4,8,m,1124,7.5,,,,
Jaxpheno4,8,m,1128,6.4,,,,
Jaxpheno4,8,f,1133,6.5,,,,
Jaxpheno4,8,m,1148,7.6,,,,
Jaxpheno4,8,m,1149,6.3,,,,
Jaxpheno4,8,f,1160,6.6,,,,
Jaxpheno4,8,m,1165,7.6,,,,
Jaxpheno4,8,f,1168,7.1,,,,
Jaxpheno4,8,f,1168,7.1,,,,
Jaxpheno4,8,m,1173,7.6,,,,
Jaxpheno4,8,m,1183,7.7,,,,
Jaxpheno4,8,m,1188,7.5,,,,
Jaxpheno4,8,m,1191,6.4,,,,
Jaxpheno4,8,f,1195,6.4,,,,
Jaxpheno4,8,m,1212,6.9,,,,
Jaxpheno4,8,m,1219,6.5,,,,
Jaxpheno4,8,m,1222,7.4,,,,
Jaxpheno4,8,f,1233,6.3,,,,
Jaxpheno4,8,m,1256,7.5,,,,
Jaxpheno4,8,m,1264,6.1,,,,
Jaxpheno4,8,m,1267,6.6,,,,
Jaxpheno4,8,m,1278,7.2,,,,
Jaxpheno4,8,m,1280,6.3,,,,
Jaxpheno4,8,m,1281,7.4,,,,
Jaxpheno4,8,m,1303,6.4,,,,
Jaxpheno4,8,f,1336,7.2,,,,
Jaxpheno4,8,f,1336,7.2,,,,
Jaxpheno4,8,m,1341,7.1,,,,
Jaxpheno4,8,m,1495,7.3,,,,
Jaxpheno4,8,f,1733,6.9,,,,
Jaxpheno4,8,f,1733,6.9,,,,
Jaxpheno4,16,f,1017,6.4,,,,
Jaxpheno4,16,f,1129,7.2,,,,
Jaxpheno4,16,f,1028,6.4,,,,
Jaxpheno4,16,f,1228,5.9,,,,
Jaxpheno4,16,f,1022,7.2,,,,
Jaxpheno4,16,f,1157,6,,,,
Jaxpheno4,16,f,967,6.5,,,,
Jaxpheno4,16,f,1177,7.2,,,,
Jaxpheno4,16,f,924,6.2,,,,
Jaxpheno4,16,f,1230,6.5,,,,
Jaxpheno4,16,f,1191,6.2,,,,
Jaxpheno4,16,f,1079,7.1,,,,
Jaxpheno4,16,f,1202,6.2,,,,
Jaxpheno4,16,f,1279,6.1,,,,
Jaxpheno4,16,f,995,6.2,,,,
Jaxpheno4,16,f,1001,7.4,,,,
Jaxpheno4,16,f,1013,6.4,,,,
Jaxpheno4,16,f,1151,6.4,,,,
Jaxpheno4,16,f,1116,6.3,,,,
Jaxpheno4,16,f,1019,7.1,,,,
Jaxpheno4,16,f,1201,6.4,,,,
Jaxpheno4,16,f,998,6.4,,,,
Jaxpheno4,16,f,1023,6,,,,
Jaxpheno4,16,f,1098,6.4,,,,
Jaxpheno4,16,f,1164,7.1,,,,
Jaxpheno4,16,f,1063,6.2,,,,
Jaxpheno4,16,f,1089,7.6,,,,
Jaxpheno4,16,f,1039,6.4,,,,
Jaxpheno4,16,f,1083,7.1,,,,
Jaxpheno4,16,f,1016,6.5,,,,
Jaxpheno4,16,f,1057,7,,,,
Jaxpheno4,16,f,999,6.3,,,,
Jaxpheno4,16,f,1052,6.4,,,,
Jaxpheno4,16,f,1119,6.2,,,,
Jaxpheno4,16,f,1055,7.1,,,,
Jaxpheno4,16,m,1343,6.3,,,,
Jaxpheno4,16,m,1407,6.3,,,,
Jaxpheno4,16,m,1565,6.4,,,,
Jaxpheno4,16,m,1566,6.2,,,,
Jaxpheno4,16,m,1283,5.9,,,,
Jaxpheno4,16,m,1311,6.4,,,,
Jaxpheno4,16,m,1427,6.3,,,,
Jaxpheno4,16,m,1362,6.4,,,,
Jaxpheno4,16,m,1195,6.8,,,,
Jaxpheno4,16,m,1377,6.6,,,,
Jaxpheno4,16,m,1222,6.6,,,,
Jaxpheno4,16,m,1425,6,,,,
Jaxpheno4,16,m,1284,6.7,,,,
Jaxpheno4,16,m,1287,6.4,,,,
Jaxpheno4,16,m,1418,6.5,,,,
Jaxpheno4,16,m,1235,6.3,,,,
Jaxpheno4,16,m,1237,6.4,,,,
Jaxpheno4,16,m,1461,6.6,,,,
Jaxpheno4,16,m,1224,6.5,,,,
Jaxpheno4,16,m,1533,6.2,,,,
Jaxpheno4,16,m,749,6.5,,,,
Jaxpheno4,16,m,1035,6.6,,,,
Jaxpheno4,16,m,1333,6.8,,,,
Jaxpheno4,16,m,1358,6.6,,,,
Jaxpheno4,16,m,1208,6.3,,,,
Jaxpheno4,16,m,1071,6.6,,,,
Jaxpheno4,16,m,1342,6.2,,,,
Jaxpheno4,16,m,1638,6.4,,,,
Jaxpheno4,16,m,1326,6.3,,,,
Jaxpheno4,16,m,1072,6.4,,,,
Stahl1,7,f,585,5.8,,,,
Stahl1,7,f,599,5.9,,,,
Stahl1,7,f,628,5.9,,,,
Stahl1,7,f,593,5.9,,,,
Stahl1,7,f,617,5.9,,,,
Stahl1,7,f,588,6.2,,,,
Stahl1,7,f,571,5.9,,,,
Stahl1,7,f,612,6,,,,
Stahl1,7,f,606,5.9,,,,
Stahl1,6,f,624,6,,,,
Stahl1,6,f,542,6,,,,
Stahl1,7,f,643,6,,,,
Stahl1,7,f,587,5.9,,,,
Stahl1,7,f,596,5.9,,,,
Stahl1,7,f,534,6.1,,,,
Stahl1,7,f,587,6.1,,,,
Stahl1,10,f,454,6,,,,
Stahl1,9,f,613,5.8,,,,
Stahl1,7,m,737,5.9,,,,
Stahl1,7,m,726,5.7,,,,
Stahl1,7,m,810,5.9,,,,
Stahl1,7,m,781,6,,,,
Stahl1,7,m,828,6,,,,
Stahl1,7,m,786,6,,,,
Stahl1,7,m,800,5.9,,,,
Stahl1,7,m,814,5.9,,,,
Stahl1,7,m,804,6,,,,
Stahl1,7,m,725,5.9,,,,
Stahl1,7,m,829,6,,,,
Stahl1,7,m,804,6.1,,,,
Stahl1,7,m,794,5.8,,,,
Stahl1,7,m,736,5.7,,,,
Stahl1,7,m,733,5.8,,,,
Stahl1,7,m,656,5.8,,,,
Stahl1,10,m,685,5.8,,,,
Stahl1,10,m,743,5.9,,,,
Stahl1,9,m,699,5.8,,,,
Stahl1,9,m,819,5.7,,,,
Stahl1,9,m,767,5.9,,,,
Peters1,10,f,1420,8.5,,,,
Peters1,10,f,1270,5.9,,,,
Peters1,10,f,937,4,,,,
Peters1,10,f,947,3.9,,,,
Peters1,10,f,843,4,,,,
Peters1,10,f,1060,9,,,,
Peters1,10,f,1530,8.7,,,,
Peters1,10,f,1250,12.1,,,,
Peters1,10,f,1250,5.1,,,,
Peters1,10,f,1000,7.7,,,,
Peters1,10,f,1290,8.2,,,,
Peters1,10,m,1250,10.4,,,,
Peters1,10,m,585,6.9,,,,
Peters1,10,m,1760,6.2,,,,
Peters1,10,m,1610,6.1,,,,
Peters1,10,m,1340,6.4,,,,
Peters1,10,m,1780,6.2,,,,
