Phenotype data set -- Mouse Phenome Database (phenome.jax.org),,,,,,
"Data set: CGDpheno2    Title: Variation over time for C57BL/6J controls, multi-system survey of mouse physiology    Year: 2009",,,,,,
Table of individual animal values,,,,,,
For metadata and more info please see:  http://phenome.jax.org/db/q?rtn=projects/details&sym=CGDpheno2&mlistmode=varnames,,,,,,
,,,,,,
strain,sex,id,age,testdate,parameter,value
C57BL/6J,f,453935,12,10/4/2002,bodylength,8.7
C57BL/6J,f,453935,12,10/4/2002,bodyweight,20.5
C57BL/6J,f,453935,12,10/4/2002,TTM,18.2
C57BL/6J,f,453937,10,9/26/2002,carbon dioxide,16.6
C57BL/6J,f,453937,10,9/26/2002,chloride,118
C57BL/6J,f,453937,10,9/26/2002,potassium,6.1
C57BL/6J,f,453937,10,9/26/2002,sodium,144
C57BL/6J,f,453937,11,9/26/2002,pctEOS,1.8
C57BL/6J,f,453937,11,9/26/2002,HCT,47.8
C57BL/6J,f,453937,11,9/26/2002,HDW,2.09
